riddle_id,entity_id,role
0,5,mentioned
0,34,mentioned
0,133,mentioned
1,5,mentioned
1,123,mentioned
1,133,mentioned
2,5,mentioned
2,120,mentioned
2,131,mentioned
2,133,mentioned
2,412,mentioned
3,5,mentioned
3,133,mentioned
4,28,mentioned
4,133,mentioned
5,28,mentioned
5,131,mentioned
5,133,mentioned
6,35,mentioned
6,133,mentioned
6,496,mentioned
7,78,mentioned
7,133,mentioned
8,3,mentioned
8,36,mentioned
8,45,mentioned
8,53,mentioned
8,131,mentioned
8,133,mentioned
8,412,mentioned
9,79,mentioned
9,133,mentioned
9,135,mentioned
10,37,mentioned
10,133,mentioned
10,619,mentioned
11,54,mentioned
11,133,mentioned
11,619,mentioned
12,71,mentioned
12,80,mentioned
12,133,mentioned
13,2,mentioned
13,14,mentioned
13,133,mentioned
14,29,mentioned
14,133,mentioned
15,81,mentioned
15,124,mentioned
15,133,mentioned
16,82,mentioned
16,133,mentioned
16,412,mentioned
17,38,mentioned
17,133,mentioned
18,83,mentioned
18,133,mentioned
19,23,mentioned
19,133,mentioned
20,84,mentioned
20,133,mentioned
21,85,mentioned
21,133,mentioned
22,86,mentioned
22,133,mentioned
23,125,mentioned
23,133,mentioned
24,126,mentioned
24,133,mentioned
25,127,mentioned
25,133,mentioned
26,128,mentioned
26,133,mentioned
27,87,mentioned
27,133,mentioned
28,39,mentioned
28,131,mentioned
28,133,mentioned
28,412,mentioned
29,88,mentioned
29,131,mentioned
29,133,mentioned
30,55,mentioned
30,129,mentioned
30,133,mentioned
30,135,mentioned
31,40,mentioned
31,130,mentioned
31,131,mentioned
31,133,mentioned
32,56,mentioned
32,57,mentioned
32,133,mentioned
33,58,mentioned
33,89,mentioned
33,133,mentioned
34,89,mentioned
34,133,mentioned
34,135,mentioned
34,551,mentioned
35,131,mentioned
35,133,mentioned
36,132,mentioned
36,133,mentioned
36,554,mentioned
37,90,mentioned
37,133,mentioned
38,9,mentioned
38,90,mentioned
38,133,mentioned
39,89,mentioned
39,120,mentioned
39,133,mentioned
39,557,mentioned
40,133,mentioned
40,134,mentioned
41,91,mentioned
41,133,mentioned
41,135,mentioned
42,13,mentioned
42,133,mentioned
42,136,mentioned
43,59,mentioned
43,133,mentioned
43,137,mentioned
44,133,mentioned
44,138,mentioned
44,577,mentioned
45,60,mentioned
45,133,mentioned
46,133,mentioned
46,139,mentioned
47,41,mentioned
47,133,mentioned
48,10,mentioned
48,42,mentioned
48,133,mentioned
49,12,mentioned
49,14,mentioned
49,133,mentioned
50,14,mentioned
50,133,mentioned
51,61,mentioned
51,133,mentioned
52,61,mentioned
52,133,mentioned
53,43,mentioned
53,133,mentioned
54,43,mentioned
54,133,mentioned
55,131,mentioned
55,133,mentioned
55,140,mentioned
55,412,mentioned
56,44,mentioned
56,133,mentioned
57,11,mentioned
57,56,mentioned
57,133,mentioned
58,45,mentioned
58,133,mentioned
58,412,mentioned
59,46,mentioned
59,133,mentioned
59,412,mentioned
60,8,mentioned
60,30,mentioned
60,133,mentioned
61,8,mentioned
61,133,mentioned
62,8,mentioned
62,133,mentioned
63,8,mentioned
63,133,mentioned
64,11,mentioned
64,133,mentioned
65,11,mentioned
65,133,mentioned
66,11,mentioned
66,57,mentioned
66,133,mentioned
67,17,mentioned
67,62,mentioned
67,133,mentioned
68,15,mentioned
68,133,mentioned
69,31,mentioned
69,133,mentioned
70,31,mentioned
70,133,mentioned
71,2,mentioned
71,3,mentioned
71,92,mentioned
71,133,mentioned
72,3,mentioned
72,47,mentioned
72,133,mentioned
73,3,mentioned
73,47,mentioned
73,133,mentioned
74,3,mentioned
74,16,mentioned
74,47,mentioned
74,133,mentioned
74,654,mentioned
75,48,mentioned
75,63,mentioned
75,133,mentioned
76,48,mentioned
76,63,mentioned
76,133,mentioned
77,64,mentioned
77,133,mentioned
77,412,mentioned
78,64,mentioned
78,133,mentioned
79,65,mentioned
79,133,mentioned
79,533,mentioned
80,65,mentioned
80,133,mentioned
81,93,mentioned
81,133,mentioned
82,3,mentioned
82,36,mentioned
82,133,mentioned
82,135,mentioned
82,141,mentioned
82,621,mentioned
83,17,mentioned
83,133,mentioned
83,135,mentioned
83,142,mentioned
84,4,mentioned
84,6,mentioned
84,133,mentioned
84,135,mentioned
84,143,mentioned
84,573,mentioned
85,133,mentioned
85,135,mentioned
86,32,mentioned
86,133,mentioned
86,135,mentioned
86,144,mentioned
87,10,mentioned
87,71,mentioned
87,133,mentioned
87,135,mentioned
88,133,mentioned
88,135,mentioned
88,145,mentioned
89,131,mentioned
89,133,mentioned
89,135,mentioned
89,496,mentioned
89,599,mentioned
90,66,mentioned
90,133,mentioned
90,135,mentioned
91,59,mentioned
91,133,mentioned
91,135,mentioned
92,133,mentioned
92,135,mentioned
93,133,mentioned
93,135,mentioned
93,638,mentioned
94,7,mentioned
94,133,mentioned
94,135,mentioned
94,412,mentioned
95,133,mentioned
95,135,mentioned
95,590,mentioned
95,619,mentioned
96,6,mentioned
96,133,mentioned
96,135,mentioned
97,67,mentioned
97,131,mentioned
97,133,mentioned
97,135,mentioned
98,4,mentioned
98,133,mentioned
98,135,mentioned
99,133,mentioned
99,135,mentioned
99,477,mentioned
100,133,mentioned
100,135,mentioned
100,146,mentioned
100,551,mentioned
101,133,mentioned
101,135,mentioned
102,18,mentioned
102,133,mentioned
102,135,mentioned
103,133,mentioned
103,135,mentioned
104,9,mentioned
104,133,mentioned
104,135,mentioned
104,654,mentioned
104,665,mentioned
105,133,mentioned
105,135,mentioned
105,147,mentioned
106,133,mentioned
106,135,mentioned
107,11,mentioned
107,133,mentioned
107,135,mentioned
107,552,mentioned
108,133,mentioned
108,135,mentioned
109,0,mentioned
109,16,mentioned
109,19,mentioned
109,133,mentioned
110,0,mentioned
110,133,mentioned
110,654,mentioned
111,0,mentioned
111,38,mentioned
111,89,mentioned
111,133,mentioned
111,548,mentioned
112,133,mentioned
112,551,mentioned
112,553,mentioned
113,24,mentioned
113,133,mentioned
113,553,mentioned
113,554,mentioned
114,16,mentioned
114,133,mentioned
115,25,mentioned
115,133,mentioned
115,594,mentioned
116,133,mentioned
116,148,mentioned
117,133,mentioned
117,135,mentioned
118,90,mentioned
118,133,mentioned
119,133,mentioned
119,149,mentioned
120,127,mentioned
120,133,mentioned
120,552,mentioned
121,9,mentioned
121,90,mentioned
121,133,mentioned
122,9,mentioned
122,90,mentioned
122,133,mentioned
122,388,mentioned
122,412,mentioned
122,553,mentioned
123,0,mentioned
123,20,mentioned
123,26,mentioned
123,135,mentioned
124,49,mentioned
124,133,mentioned
124,387,mentioned
124,412,mentioned
124,553,mentioned
124,587,mentioned
125,9,mentioned
125,133,mentioned
125,150,mentioned
125,412,mentioned
125,587,mentioned
126,19,mentioned
126,133,mentioned
127,0,mentioned
127,133,mentioned
128,0,mentioned
128,133,mentioned
128,135,mentioned
128,151,mentioned
129,133,mentioned
129,412,mentioned
129,587,mentioned
130,133,mentioned
130,152,mentioned
130,412,mentioned
130,587,mentioned
131,21,mentioned
131,89,mentioned
131,133,mentioned
131,554,mentioned
132,3,mentioned
132,133,mentioned
132,575,mentioned
132,621,mentioned
133,0,mentioned
133,133,mentioned
133,554,mentioned
133,590,mentioned
133,591,mentioned
133,671,mentioned
134,1,mentioned
134,133,mentioned
135,1,mentioned
135,8,mentioned
135,30,mentioned
135,133,mentioned
136,133,mentioned
136,552,mentioned
136,553,mentioned
137,0,mentioned
137,9,mentioned
137,133,mentioned
137,553,mentioned
138,0,mentioned
139,0,mentioned
139,654,mentioned
140,0,mentioned
140,655,mentioned
141,133,mentioned
141,601,mentioned
142,24,mentioned
142,25,mentioned
142,59,mentioned
142,133,mentioned
142,135,mentioned
142,153,mentioned
143,3,mentioned
143,94,mentioned
143,133,mentioned
143,135,mentioned
143,154,mentioned
144,61,mentioned
144,133,mentioned
144,155,mentioned
145,133,mentioned
145,156,mentioned
145,412,mentioned
146,12,mentioned
146,14,mentioned
146,133,mentioned
146,157,mentioned
146,495,mentioned
147,91,mentioned
147,133,mentioned
147,431,mentioned
148,89,mentioned
148,133,mentioned
148,412,mentioned
148,668,mentioned
149,91,mentioned
150,133,mentioned
150,158,mentioned
150,599,mentioned
151,133,mentioned
151,159,mentioned
151,412,mentioned
152,97,mentioned
152,133,mentioned
152,160,mentioned
153,133,mentioned
153,135,mentioned
153,161,mentioned
153,412,mentioned
153,557,mentioned
153,568,mentioned
153,658,mentioned
154,9,mentioned
154,133,mentioned
154,135,mentioned
154,162,mentioned
154,412,mentioned
155,133,mentioned
155,163,mentioned
155,654,mentioned
156,133,mentioned
156,164,mentioned
156,587,mentioned
157,89,mentioned
157,127,mentioned
157,133,mentioned
157,165,mentioned
158,27,mentioned
158,133,mentioned
158,166,mentioned
158,662,mentioned
159,23,mentioned
159,133,mentioned
159,167,mentioned
159,670,mentioned
160,27,mentioned
160,133,mentioned
160,135,mentioned
160,168,mentioned
160,590,mentioned
160,591,mentioned
160,595,mentioned
161,38,mentioned
161,133,mentioned
161,169,mentioned
162,5,mentioned
162,9,mentioned
162,90,mentioned
162,133,mentioned
162,170,mentioned
163,133,mentioned
163,171,mentioned
164,10,mentioned
164,133,mentioned
164,172,mentioned
164,412,mentioned
164,668,mentioned
165,50,mentioned
165,97,mentioned
165,133,mentioned
165,135,mentioned
165,173,mentioned
166,14,mentioned
166,131,mentioned
166,133,mentioned
166,412,mentioned
167,133,mentioned
167,174,mentioned
167,175,mentioned
168,24,mentioned
168,25,mentioned
168,133,mentioned
168,176,mentioned
168,594,mentioned
169,133,mentioned
169,177,mentioned
169,514,mentioned
169,655,mentioned
170,5,mentioned
170,18,mentioned
170,95,mentioned
170,133,mentioned
170,178,mentioned
171,133,mentioned
171,179,mentioned
172,133,mentioned
172,180,mentioned
172,639,mentioned
173,133,mentioned
173,412,mentioned
174,15,mentioned
174,131,mentioned
174,133,mentioned
175,7,mentioned
175,89,mentioned
175,133,mentioned
175,181,mentioned
176,1,mentioned
176,7,mentioned
176,133,mentioned
176,182,mentioned
176,412,mentioned
177,89,mentioned
177,133,mentioned
177,135,mentioned
177,183,mentioned
177,412,mentioned
177,528,mentioned
178,133,mentioned
178,135,mentioned
178,412,mentioned
178,657,mentioned
179,133,mentioned
179,135,mentioned
179,650,mentioned
180,87,mentioned
180,133,mentioned
180,135,mentioned
180,594,mentioned
181,4,mentioned
181,133,mentioned
181,135,mentioned
182,133,mentioned
182,135,mentioned
182,590,mentioned
182,595,mentioned
183,68,mentioned
183,96,mentioned
183,133,mentioned
183,135,mentioned
183,592,mentioned
183,594,mentioned
183,671,mentioned
184,133,mentioned
184,135,mentioned
185,32,mentioned
185,133,mentioned
185,135,mentioned
185,184,mentioned
185,412,mentioned
186,9,mentioned
186,133,mentioned
186,616,mentioned
186,668,mentioned
187,133,mentioned
187,185,mentioned
188,71,mentioned
188,131,mentioned
188,133,mentioned
188,186,mentioned
189,97,mentioned
189,133,mentioned
189,187,mentioned
189,412,mentioned
190,25,mentioned
190,654,mentioned
191,21,mentioned
191,133,mentioned
191,412,mentioned
191,663,mentioned
192,15,mentioned
192,133,mentioned
192,135,mentioned
192,188,mentioned
193,133,mentioned
194,13,mentioned
194,50,mentioned
194,59,mentioned
194,133,mentioned
194,135,mentioned
194,189,mentioned
195,133,mentioned
195,135,mentioned
195,190,mentioned
196,40,mentioned
196,133,mentioned
196,191,mentioned
196,557,mentioned
196,585,mentioned
196,658,mentioned
197,29,mentioned
197,133,mentioned
197,134,mentioned
197,192,mentioned
198,133,mentioned
198,193,mentioned
199,133,mentioned
199,135,mentioned
199,194,mentioned
199,663,mentioned
200,71,mentioned
200,133,mentioned
200,135,mentioned
201,10,mentioned
201,91,mentioned
201,133,mentioned
201,195,mentioned
202,9,mentioned
202,133,mentioned
202,196,mentioned
202,412,mentioned
203,18,mentioned
203,133,mentioned
204,133,mentioned
204,197,mentioned
204,594,mentioned
204,595,mentioned
205,133,mentioned
205,198,mentioned
205,412,mentioned
206,133,mentioned
206,135,mentioned
206,199,mentioned
206,590,mentioned
207,133,mentioned
207,200,mentioned
207,573,mentioned
208,133,mentioned
208,201,mentioned
208,412,mentioned
209,133,mentioned
209,202,mentioned
210,133,mentioned
210,203,mentioned
211,133,mentioned
211,204,mentioned
212,133,mentioned
212,205,mentioned
213,1,mentioned
213,133,mentioned
213,135,mentioned
213,657,mentioned
213,725,mentioned
214,133,mentioned
214,135,mentioned
214,657,mentioned
214,725,mentioned
215,1,mentioned
215,133,mentioned
215,657,mentioned
216,1,mentioned
216,133,mentioned
217,1,mentioned
217,133,mentioned
217,206,mentioned
218,133,mentioned
218,207,mentioned
219,1,mentioned
219,133,mentioned
219,208,mentioned
220,133,mentioned
220,209,mentioned
221,29,mentioned
221,33,mentioned
221,120,mentioned
221,135,mentioned
221,590,mentioned
222,7,mentioned
222,29,mentioned
222,33,mentioned
222,133,mentioned
222,135,mentioned
222,590,mentioned
223,133,mentioned
223,135,mentioned
223,654,mentioned
224,9,mentioned
224,17,mentioned
224,91,mentioned
224,133,mentioned
224,412,mentioned
225,71,mentioned
225,131,mentioned
225,133,mentioned
225,210,mentioned
226,97,mentioned
226,133,mentioned
226,668,mentioned
227,91,mentioned
227,133,mentioned
227,211,mentioned
227,412,mentioned
227,587,mentioned
228,13,mentioned
228,133,mentioned
228,212,mentioned
228,587,mentioned
229,16,mentioned
229,133,mentioned
229,135,mentioned
229,213,mentioned
229,412,mentioned
230,8,mentioned
230,30,mentioned
230,133,mentioned
230,384,mentioned
230,548,mentioned
231,89,mentioned
231,133,mentioned
231,214,mentioned
232,40,mentioned
232,89,mentioned
232,133,mentioned
232,215,mentioned
232,412,mentioned
232,467,mentioned
233,98,mentioned
233,99,mentioned
233,133,mentioned
233,216,mentioned
233,655,mentioned
234,133,mentioned
234,217,mentioned
235,133,mentioned
235,135,mentioned
235,548,mentioned
236,16,mentioned
236,133,mentioned
236,135,mentioned
236,218,mentioned
236,561,mentioned
237,133,mentioned
237,219,mentioned
237,551,mentioned
237,654,mentioned
237,655,mentioned
238,55,mentioned
238,133,mentioned
238,220,mentioned
238,655,mentioned
239,28,mentioned
239,89,mentioned
239,131,mentioned
239,133,mentioned
239,135,mentioned
239,221,mentioned
239,431,mentioned
240,133,mentioned
240,222,mentioned
241,133,mentioned
241,223,mentioned
242,133,mentioned
242,224,mentioned
243,133,mentioned
243,225,mentioned
243,582,mentioned
244,133,mentioned
244,226,mentioned
244,556,mentioned
245,89,mentioned
245,133,mentioned
245,227,mentioned
245,672,mentioned
246,133,mentioned
246,135,mentioned
246,412,mentioned
247,133,mentioned
247,228,mentioned
247,594,mentioned
247,595,mentioned
248,57,mentioned
248,133,mentioned
248,229,mentioned
248,594,mentioned
248,595,mentioned
249,1,mentioned
249,37,mentioned
249,133,mentioned
249,230,mentioned
249,554,mentioned
249,590,mentioned
249,591,mentioned
250,87,mentioned
250,133,mentioned
250,231,mentioned
251,133,mentioned
251,232,mentioned
251,430,mentioned
252,107,mentioned
252,133,mentioned
252,233,mentioned
253,133,mentioned
253,234,mentioned
253,725,mentioned
254,133,mentioned
254,235,mentioned
255,86,mentioned
255,133,mentioned
255,236,mentioned
256,102,mentioned
256,133,mentioned
256,237,mentioned
257,91,mentioned
257,133,mentioned
257,238,mentioned
257,431,mentioned
258,8,mentioned
258,30,mentioned
258,133,mentioned
258,239,mentioned
259,8,mentioned
259,30,mentioned
259,133,mentioned
259,240,mentioned
259,600,mentioned
260,33,mentioned
260,100,mentioned
260,133,mentioned
260,135,mentioned
260,590,mentioned
261,100,mentioned
261,133,mentioned
261,241,mentioned
262,33,mentioned
262,94,mentioned
262,133,mentioned
262,135,mentioned
262,431,mentioned
262,590,mentioned
263,133,mentioned
263,242,mentioned
263,243,mentioned
263,554,mentioned
264,59,mentioned
264,131,mentioned
264,133,mentioned
264,244,mentioned
265,89,mentioned
265,131,mentioned
265,133,mentioned
265,245,mentioned
265,557,mentioned
265,579,mentioned
266,89,mentioned
266,131,mentioned
266,133,mentioned
266,246,mentioned
266,671,mentioned
267,133,mentioned
267,247,mentioned
268,5,mentioned
268,25,mentioned
268,71,mentioned
268,89,mentioned
268,95,mentioned
268,131,mentioned
268,133,mentioned
268,248,mentioned
268,594,mentioned
268,595,mentioned
269,2,mentioned
269,89,mentioned
269,133,mentioned
269,249,mentioned
269,250,mentioned
270,3,mentioned
270,133,mentioned
270,135,mentioned
270,251,mentioned
271,69,mentioned
271,71,mentioned
271,89,mentioned
271,133,mentioned
271,135,mentioned
271,252,mentioned
271,412,mentioned
272,133,mentioned
272,253,mentioned
272,412,mentioned
272,555,mentioned
273,89,mentioned
273,131,mentioned
273,133,mentioned
273,254,mentioned
273,669,mentioned
274,69,mentioned
274,89,mentioned
274,133,mentioned
274,135,mentioned
274,255,mentioned
275,12,mentioned
275,89,mentioned
275,133,mentioned
275,256,mentioned
275,412,mentioned
275,528,mentioned
275,654,mentioned
276,1,mentioned
276,89,mentioned
276,131,mentioned
276,133,mentioned
276,257,mentioned
276,552,mentioned
277,89,mentioned
277,133,mentioned
277,135,mentioned
277,258,mentioned
277,412,mentioned
278,133,mentioned
278,135,mentioned
278,259,mentioned
278,654,mentioned
279,89,mentioned
279,133,mentioned
279,260,mentioned
279,412,mentioned
279,590,mentioned
279,671,mentioned
280,133,mentioned
280,261,mentioned
280,581,mentioned
280,587,mentioned
281,133,mentioned
281,262,mentioned
281,581,mentioned
281,587,mentioned
282,89,mentioned
282,131,mentioned
282,133,mentioned
282,263,mentioned
282,412,mentioned
283,2,mentioned
283,89,mentioned
283,133,mentioned
283,264,mentioned
283,412,mentioned
284,4,mentioned
284,89,mentioned
284,133,mentioned
284,265,mentioned
284,496,mentioned
285,4,mentioned
285,133,mentioned
285,135,mentioned
285,266,mentioned
285,557,mentioned
285,658,mentioned
286,133,mentioned
286,135,mentioned
286,267,mentioned
286,496,mentioned
286,568,mentioned
287,133,mentioned
287,268,mentioned
287,654,mentioned
288,15,mentioned
288,133,mentioned
288,135,mentioned
288,577,mentioned
289,133,mentioned
289,135,mentioned
289,412,mentioned
290,133,mentioned
290,135,mentioned
291,133,mentioned
291,269,mentioned
291,431,mentioned
292,18,mentioned
292,133,mentioned
292,270,mentioned
292,431,mentioned
293,133,mentioned
293,135,mentioned
293,412,mentioned
293,519,mentioned
293,568,mentioned
294,61,mentioned
294,120,mentioned
294,133,mentioned
295,10,mentioned
295,71,mentioned
295,133,mentioned
295,135,mentioned
295,271,mentioned
295,412,mentioned
295,725,mentioned
296,9,mentioned
296,10,mentioned
296,71,mentioned
296,133,mentioned
296,657,mentioned
297,7,mentioned
297,18,mentioned
297,133,mentioned
297,412,mentioned
298,133,mentioned
298,481,mentioned
298,666,mentioned
299,12,mentioned
299,133,mentioned
300,133,mentioned
300,725,mentioned
301,133,mentioned
301,272,mentioned
301,575,mentioned
301,589,mentioned
302,59,mentioned
302,133,mentioned
302,273,mentioned
303,133,mentioned
303,274,mentioned
303,642,mentioned
304,133,mentioned
304,275,mentioned
305,133,mentioned
305,276,mentioned
306,8,mentioned
306,133,mentioned
306,277,mentioned
307,133,mentioned
307,278,mentioned
307,412,mentioned
308,133,mentioned
308,279,mentioned
308,583,mentioned
309,133,mentioned
309,280,mentioned
310,133,mentioned
310,281,mentioned
311,131,mentioned
311,133,mentioned
311,135,mentioned
311,282,mentioned
312,133,mentioned
312,283,mentioned
313,133,mentioned
313,284,mentioned
313,491,mentioned
314,133,mentioned
314,285,mentioned
314,667,mentioned
315,133,mentioned
315,286,mentioned
315,412,mentioned
316,61,mentioned
